10.1016/S0165-0114(99)00034-2
10.1145/1721654.1721672
10.1109/MIC.2011.20
10.1016/j.future.2008.12.001
10.1145/1966445.1966473
10.1007/s11036-012-0370-6
10.1145/1327452.1327492
10.1002/wcm.1203
10.1109/ICASSP.2014.6855235
10.1016/j.compbiomed.2006.11.015
